track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2023,3,24,0,77377503,134
Late Night Talking,Harry Styles,2022,5,20,8,743693613,115
Leï¿½,Marï¿½ï¿½lia Mendo,2022,12,9,4,267789608,130
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2020,3,20,5,1221813483,118
Something in the Orange,Zach Bryan,2022,4,22,12,449701773,110
VOID,Melanie Martinez,2023,3,29,0,67070410,100
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2023,3,14,6,116334601,142
Midnight Rain,Taylor Swift,2022,10,21,4,433356509,140
If We Ever Broke Up,Mae Stephens,2023,2,10,4,165584767,116
You Proof,Morgan Wallen,2022,5,13,9,367814306,120
LA INOCENTE,"Feid, Mora",2022,4,1,37,477033549,92
Malas Decisiones,Kenia OS,2022,10,26,2,156214700,110
Murder In My Mind,Kordhell,2022,1,21,20,448843705,120
Gangsta's Paradise,"Coolio, L.V.",1995,7,11,17,1357608774,80
CAIRO,"Karol G, Ovy On The Drums",2022,11,13,26,294352144,115
I Love You So,The Walters,2014,11,28,7,972164968,76
Dark Red,Steve Lacy,2017,2,20,7,920045682,172
Say You Won't Let Go,James Arthur,2016,9,9,16,2420461338,99
The Hills,The Weeknd,2015,5,27,4,1947371785,136
Heart To Heart,Mac DeMarco,2019,5,10,0,244658767,150
Peaches (from The Super Mario Bros. Movie),Jack Black,2023,4,7,0,68216992,92
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",2022,12,15,16,223582566,95
LOKERA,"Brray, Rauw Alejandro, Lyanno",2022,7,25,30,471819764,102
Low,SZA,2022,12,9,0,272377463,145
Numb,Linkin Park,2003,3,24,5,1361425037,110
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2023,2,24,0,149778242,95
on the street (with J. Cole),"j-hope, J. Cole",2023,3,3,2,116599790,94
One Thing At A Time,Morgan Wallen,2022,12,2,4,148469433,142
Miss You,"Robin Schulz, Oliver Tree",2022,8,5,10,497225336,145
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,2023,3,3,4,88791109,121
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,2023,3,3,6,125917280,140
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",2023,2,23,0,105062254,137
Everything I Love,Morgan Wallen,2023,1,31,0,95623148,104
Heaven,Niall Horan,2023,2,17,2,144584800,92
LET GO,Central Cee,2022,12,15,20,298063749,146
Sial,Mahalini,2023,1,23,4,166570053,120
I Wrote The Book,Morgan Wallen,2023,1,31,0,83021468,144
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2022,11,5,0,139836056,94
SPIT IN MY FACE!,ThxSoMch,2022,10,31,14,303216294,94
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2022,12,15,15,221409663,113
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023,3,3,0,58890931,148
Red Ruby Da Sleeze,Nicki Minaj,2023,3,3,0,81419389,98
Kahani Suno 2.0,Kaifi Khalil,2022,5,31,6,156777415,140
Nobody Gets Me,SZA,2022,12,9,6,284908316,100
PERO Tï¿,"Karol G, Quevedo",2023,2,23,11,93438910,140
Hype Boy,NewJeans,2022,8,1,17,363472647,100
Bloody Mary,Lady Gaga,2011,1,1,0,372476382,100
Monotonï¿½,"Ozuna, Shakira",2022,10,19,15,380726517,132
ýýý98 Braves,Morgan Wallen,2023,3,3,0,56533272,142
WANDA,Quevedo,2023,1,20,22,175399345,176
Thought You Should Know,Morgan Wallen,2022,5,6,4,203221468,140
In The End,Linkin Park,2000,10,24,6,1624165576,105
Zona De Perigo,Leo Santana,2022,12,8,4,134294498,135
Lovezinho,Treyce,2022,7,28,0,70069745,128
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022,6,3,14,609293408,101
Neverita,Bad Bunny,2022,5,6,30,671365962,122
Vista Al Mar,Quevedo,2022,9,8,34,362361576,105
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2022,12,23,4,93587665,83
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",2021,9,3,7,1223481149,77
Revenge,XXXTENTACION,2017,8,25,11,1022258230,140
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2022,11,3,6,263453310,158
LA CANCIï¿½,"J Balvin, Bad Bunny",2019,6,28,31,1435127549,176
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2022,10,20,15,236857112,98
Love Again,The Kid Laroi,2023,1,27,0,147538971,107
After Hours,The Weeknd,2020,2,19,6,698086140,109
About Damn Time,Lizzo,2022,7,15,2,723894473,109
Born With A Beer In My Hand,Morgan Wallen,2023,3,3,0,34450974,148
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,2020,5,20,14,403097450,158
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2022,9,29,13,309483971,94
Maan Meri Jaan,King,2022,10,12,6,319566866,96
Moscow Mule,Bad Bunny,2022,5,6,33,909001996,100
My Universe,"Coldplay, BTS",2021,9,24,13,1061966512,105
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,2023,3,3,0,32526947,125
LLYLM,ROSALï¿½,2023,1,27,0,124988687,170
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",2023,1,27,0,103787664,115
TRUSTFALL,P!nk,2023,1,27,16,134255790,122
ANTIFRAGILE,LE SSERAFIM,2022,10,17,12,301051721,105
Boy's a liar,PinkPantheress,2022,11,30,0,156338624,133
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2023,1,13,2,152850295,100
Shirt,SZA,2022,10,28,0,309653982,120
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,2022,10,28,0,297328960,177
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022,9,22,0,332506354,142
"Sex, Drugs, Etc.",Beach Weather,2016,11,4,16,480507035,144
Boy With Luv (feat. Halsey),"Halsey, BTS",2019,4,12,0,1065580332,120
"Hey, Mickey!",Baby Tate,2016,9,27,0,122763672,135
Calm Down,Rï¿½ï,2022,2,9,10,445763624,107
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",2022,12,22,4,1365184,105
Escapism. - Sped Up,"RAYE, 070 Shake",2022,11,25,0,184308753,108
Space Song,Beach House,2015,1,1,4,789753877,147
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",2022,11,20,20,323358833,115
Te Felicito,"Shakira, Rauw Alejandro",2022,4,21,9,606361689,174
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",2023,1,12,6,120972253,90
TV,Billie Eilish,2022,7,21,2,338564981,141
I'm Not The Only One,Sam Smith,2014,1,1,3,1606986953,82
Heather,Conan Gray,2020,3,20,7,1301799902,92
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",2022,12,12,4,140187018,116
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2017,6,2,10,1897517891,124
Sugar Rush Ride,TOMORROW X TOGETHER,2023,1,27,0,107642809,125
Pink Venom,BLACKPINK,2022,8,19,16,551305895,90
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",2022,4,27,14,556585270,83
Don't Start Now,Dua Lipa,2019,10,31,0,2303033973,124
After Dark,Mr.Kitty,2014,8,8,14,646886885,140
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2022,9,16,4,222612678,154
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2021,7,23,0,1814349763,150
MIDDLE OF THE NIGHT,Elley Duhï¿,2020,1,10,8,872137015,186
Atlantis,Seafret,2015,4,22,6,571386359,166
PUNTO 40,"Baby Rasta, Rauw Alejandro",2022,9,22,12,304079786,107
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",2022,9,9,0,174006928,87
How Do I Say Goodbye,Dean Lewis,2022,8,5,15,284785823,82
Blind,SZA,2022,12,9,0,163284000,114
Doja,Central Cee,2022,7,20,44,482257456,140
Gatita,Bellakath,2022,10,3,0,168684524,101
Rumble,"Skrillex, Flowdan, Fred again..",2022,1,17,0,78489819,140
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",2022,12,2,0,195516622,88
Yonaguni,Bad Bunny,2021,6,4,28,1260594497,180
Super Freaky Girl,Nicki Minaj,2022,8,12,0,428685680,133
Running Up That Hill (A Deal With God),Kate Bush,1985,9,16,0,1024858327,108
Dream On,Aerosmith,1973,1,5,0,838586769,80
Limbo,Freddie Dredd,2022,8,11,0,199386237,75
Where Are You Now,"Lost Frequencies, Calum Scott",2021,7,30,44,972509632,121
WORTH NOTHING,"Twisted, Oliver Tree",2022,9,28,0,213438580,140
Bad Habits,Ed Sheeran,2020,9,3,8,1555511105,126
KICK BACK,Kenshi Yonezu,2022,10,12,4,210038833,102
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,2022,4,8,0,227918678,82
Good Days,SZA,2020,12,24,2,826623384,121
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2020,3,27,8,1802514301,103
Woman,Doja Cat,2021,6,25,0,1329090101,108
Shut up My Moms Calling - (Sped Up),Hotel Ugly,2022,9,14,7,181831132,85
Ferrari,"James Hype, Miggy Dela Rosa",2022,3,14,28,462791599,125
"You're On Your Own, Kid",Taylor Swift,2022,10,21,2,348647203,120
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",2022,7,17,6,366599607,94
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",1930,1,1,0,90598517,130
Payphone,"Maroon 5, Wiz Khalifa",2012,1,1,4,1479264469,110
All I Want for Christmas Is You,Mariah Carey,1994,10,28,0,1449779435,150
Last Christmas,Wham!,1984,1,1,0,1159176109,107
Rockin' Around The Christmas Tree,Brenda Lee,1958,1,1,0,769213520,140
Jingle Bell Rock,Bobby Helms,1957,1,1,0,741301563,119
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,2011,10,14,0,807561936,93
Santa Tell Me,Ariana Grande,2013,12,13,0,834129063,133
It's the Most Wonderful Time of the Year,Andy Williams,1963,10,14,0,663832097,202
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1959,11,16,0,446390129,134
Snowman,Sia,2017,1,1,0,690104769,105
Underneath the Tree,Kelly Clarkson,2013,10,25,0,485285717,160
Feliz Navidad,Josï¿½ï¿½ Felic,1970,11,1,0,520034544,148
Holly Jolly Christmas,Michael Bublï¿,2011,10,14,0,476244795,151
Mistletoe,Justin Bieber,2011,1,1,0,629173063,162
Sleigh Ride,The Ronettes,1963,11,22,0,404664135,92
Seek & Destroy,SZA,2022,12,9,0,98709329,152
Love Language,SZA,2022,12,9,0,110849052,65
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",1971,12,1,0,460492795,147
Used (feat. Don Toliver),"SZA, Don Toliver",2022,12,8,0,94005786,150
A Holly Jolly Christmas - Single Version,Burl Ives,1952,1,1,0,395591396,140
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1946,11,1,0,389771964,139
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1979,11,16,0,403939487,95
Do They Know It's Christmas? - 1984 Version,Band Aid,1984,11,25,0,481697415,115
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2022,12,9,0,110073250,125
Special,SZA,2022,12,9,0,88092256,76
Merry Christmas Everyone,Shakin' Stevens,1984,1,1,0,351636786,101
SOS,SZA,2022,12,9,0,73981293,119
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022,12,8,4,155653938,78
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",1942,1,1,0,395591396,96
Driving Home for Christmas - 2019 Remaster,Chris Rea,1986,1,1,0,429504768,180
Christmas (Baby Please Come Home),Darlene Love,1963,11,22,0,242767149,126
Gone Girl,SZA,2022,12,9,0,65362788,150
F2F,SZA,2022,12,9,0,67540165,90
Notice Me,SZA,2022,12,9,0,62019074,160
Merry Christmas,"Ed Sheeran, Elton John",2017,11,10,0,135723538,114
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",1958,1,1,0,295998468,113
My Only Wish (This Year),Britney Spears,2000,11,7,0,261116938,147
Antidepresan,"Mabel Matiz, Mert Demir",2022,11,4,2,136689549,100
Wild Flower (with youjeen),RM,2022,12,2,2,135611421,155
I Hate U,SZA,2021,12,3,0,356709897,107
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2022,12,2,0,110649992,112
Deck The Hall - Remastered 1999,Nat King Cole,1959,1,1,0,127027715,107
Smoking on my Ex Pack,SZA,2022,12,9,0,57144458,81
Conceited,SZA,2022,12,9,0,56870689,150
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2022,10,21,0,323437194,110
Maroon,Taylor Swift,2022,10,21,0,317726339,108
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",2022,9,28,0,116144341,130
Bejeweled,Taylor Swift,2022,10,21,0,328207708,164
Tarot,"Bad Bunny, Jhay Cortez",2022,5,6,20,608228647,114
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2005,9,20,0,180577478,93
Desesperados,"Chencho Corleone, Rauw Alejandro",2021,6,25,34,809306935,90
Too Late,SZA,2022,12,8,0,49262961,128
Party,"Bad Bunny, Rauw Alejandro",2022,5,6,4,614555082,97
Run Rudolph Run - Single Version,Chuck Berry,1958,1,1,0,245350949,152
Jingle Bells - Remastered 1999,Frank Sinatra,1957,1,1,0,178660459,175
Far,SZA,2022,12,9,0,51641685,116
On Time (with John Legend),"John Legend, Metro Boomin",2022,12,2,0,78139948,80
GATï¿½ï¿½,"Maldy, Karol G",2022,8,25,13,322336177,93
ýýýabcdefu,Gayle,2021,8,13,0,1007612429,122
Sacrifice,The Weeknd,2022,1,7,0,326792833,122
Is There Someone Else?,The Weeknd,2022,1,7,6,391251368,135
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",2022,1,5,0,349585590,109
Out of Time,The Weeknd,2022,1,7,0,339659802,93
Do It To It,"Cherish, ACRAZE",2021,8,20,0,674772936,125
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",2021,11,19,0,432719968,206
Pepas,Farruko,2021,6,24,17,1309887447,130
How Do I Make You Love Me?,The Weeknd,2022,1,7,0,119238316,121
Gasoline,The Weeknd,2022,1,7,0,116903579,123
Infinity,Jaymes Young,2017,6,23,0,888046992,122
Less Than Zero,The Weeknd,2022,1,7,0,200660871,143
Take My Breath,The Weeknd,2021,8,6,0,130655803,121
good 4 u,Olivia Rodrigo,2021,5,14,6,1887039593,166
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",2022,1,7,0,88103848,135
Best Friends,The Weeknd,2022,1,7,0,101114984,87
Kiss Me More (feat. SZA),"SZA, Doja Cat",2021,4,9,0,1575467011,111
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2022,1,7,0,91656026,110
Need To Know,Doja Cat,2021,6,11,0,1042568408,130
MONTERO (Call Me By Your Name),Lil Nas X,2020,9,18,0,1735441776,179
love nwantiti (ah ah ah),Ckay,2019,7,26,2,726837877,93
Dawn FM,The Weeknd,2022,1,7,0,53933526,78
Surface Pressure,Jessica Darrow,2021,11,19,0,267758538,180
Starry Eyes,The Weeknd,2022,1,7,0,74601456,86
THATS WHAT I WANT,Lil Nas X,2021,9,17,0,920797189,88
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2021,11,5,0,539595276,97
Beggin,Mï¿½ï¿½ne,2017,12,8,0,1367810478,134
Mon Amour - Remix,"Aitana, zzoilo",2020,9,21,2,578207856,116
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",2021,10,5,26,775542072,170
MONEY,Lisa,2021,9,10,13,863625566,140
The Motto,"Tiï¿½ï¿½sto, Ava",2021,11,4,6,656013912,118
Happier Than Ever,Billie Eilish,2021,7,30,0,1056760045,65
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2021,10,22,17,611994237,120
traitor,"Juan Cruz Toledo, Huilen Toledo",2021,5,21,6,1230855859,176
Toxic,BoyWithUke,2021,9,10,0,582981380,180
drivers license,Olivia Rodrigo,2021,1,8,3,1858144199,144
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",2021,11,30,1,240684449,133
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,11,12,5,583687007,93
Donï¿½ï¿½ï¿½t Break My,The Weeknd,2022,1,7,0,63803529,122
Oh My God,Adele,2021,11,19,0,466214729,88
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",2022,1,5,3,236940480,170
A Tale By Quincy,The Weeknd,2022,1,7,0,41924466,94
I AM WOMAN,Emmy Meli,2021,11,18,0,225259194,170
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2021,10,27,2,393230256,90
It'll Be Okay,Shawn Mendes,2021,12,1,0,287201015,78
Softcore,The Neighbourhood,2018,3,9,12,599770206,94
Super Gremlin,Kodak Black,2021,10,30,0,342779426,73
Volvï¿,"Aventura, Bad Bunny",2021,8,3,10,673801126,176
Todo De Ti,Rauw Alejandro,2020,11,2,8,1168642797,128
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",2019,8,30,0,540539717,120
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",2021,11,5,0,383550148,82
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",2020,3,13,0,530511203,95
Every Angel is Terrifying,The Weeknd,2022,1,7,0,37307967,118
Tacones Rojos,Sebastian Yatra,2021,10,22,9,510876816,123
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",2021,3,19,0,1445941661,90
Dakiti,"Bad Bunny, Jhay Cortez",2020,10,30,21,1763363713,110
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2021,12,29,12,374191487,96
Lï¿½ï¿½ï¿,Stromae,2022,1,9,0,108809090,88
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",2021,9,8,2,436695353,98
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",2021,9,24,0,421040617,110
Life Goes On,Oliver Tree,2020,7,17,0,501541661,80
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",2021,9,16,0,354065229,110
Butter,BTS,2021,5,21,6,1143647827,110
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",2022,1,7,0,311395144,78
You Right,"Doja Cat, The Weeknd",2021,6,24,0,672656250,129
deja vu,Olivia Rodrigo,2021,4,1,4,1256880657,181
Dynamite,BTS,2020,8,21,5,1692897992,114
TO THE MOON,Jnr Choi,2021,11,5,0,245095641,144
Lost in the Fire,"The Weeknd, Gesaffelstein",2019,1,11,2,686734357,101
Salimo de Noche,"Trueno, Tiago pzk",2021,10,21,0,261414174,84
Volando - Remix,"Sech, Bad Bunny, Mora",2021,7,8,19,610045621,154
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021,3,5,0,1115880852,148
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",2021,9,3,0,594482982,146
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2021,8,1,0,566954746,120
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2021,11,11,3,374706940,136
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",2021,11,19,0,184937148,141
Phantom Regret by Jim,The Weeknd,2022,1,7,0,31959571,108
Dos Oruguitas,Sebastian Yatra,2021,11,19,0,167076418,94
Freaks,Surf Curse,2015,5,10,3,824420218,180
Acapulco,Jason Derulo,2021,9,1,0,363467642,122
Daddy Issues,The Neighbourhood,2015,10,30,4,1127468248,85
thought i was playing,"21 Savage, Gunna",2022,1,7,0,60680939,148
ELEVEN,IVE,2021,12,1,1,247737946,120
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2020,7,24,0,1699402402,91
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2021,11,19,0,154797871,120
DANCE CRIP,Trueno,2021,11,17,0,198883004,106
Miserable Man,David Kushner,2022,1,7,0,124407432,110
happier,Olivia Rodrigo,2021,5,21,4,850608354,169
Praise God,Kanye West,2021,8,29,0,376333030,118
Get Into It (Yuh),Doja Cat,2021,6,25,0,516784627,92
Before You Go,Lewis Capaldi,2019,11,1,24,1608045237,112
Sky,Playboi Carti,2020,12,25,3,506778838,140
Rolling in the Deep,Adele,2010,11,29,6,1472799873,105
Sobrio,Maluma,2021,7,8,10,513643924,178
Peru,"Ed Sheeran, Fireboy DML",2021,12,23,0,261286503,108
favorite crime,Olivia Rodrigo,2021,5,21,0,783706581,173
Thunder,"Prezioso, Gabry Ponte, LUM!X",2021,5,7,10,422691058,101
The Business,Tiï¿½ï¿,2020,1,1,0,1062345656,120
positions,Ariana Grande,2020,10,23,0,1252563873,144
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,2021,3,19,0,851070493,133
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2021,10,22,0,263894529,158
The Feels,TWICE,2021,10,1,0,345903614,120
HEARTBREAK ANNIVERSARY,Giveon,2020,2,21,4,951637566,129
No Lie,"Sean Paul, Dua Lipa",2016,11,18,0,956865266,102
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",2021,8,13,0,427486004,124
Pope Is a Rockstar,SALES,2016,4,20,0,156658366,90
2055,Sleepy hallow,2021,4,14,0,624515457,161
Bored,Billie Eilish,2017,3,30,0,777765388,120
Happier Than Ever - Edit,Billie Eilish,2021,7,28,0,412795151,81
Astronaut In The Ocean,Masked Wolf,2019,1,1,0,1138474110,150
Ley Seca,"Anuel Aa, Jhay Cortez",2021,9,2,0,355219175,105
Every Summertime,NIKI,2021,8,10,2,290228626,79
Talking To The Moon,Bruno Mars,2010,10,4,2,1062956628,146
you broke me first,Tate McRae,2020,4,17,0,1180094974,124
The Nights,Avicii,2014,1,1,8,1456081449,126
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",2021,9,3,0,489945871,136
Cï¿½ï¿½,Rauw Alejandro,2021,6,25,3,465959382,102
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",2021,10,27,0,1223481149,77
